Company Name,Ticker,GICS Sector
Abbott Laboratories,ABT,Health Care
AbbVie Inc,ABBV,Health Care
Abercrombie & Fitch Co,ANF,Consumer Discretionary
Acadia Healthcare Co Inc,ACHC,Health Care
Activision Blizzard Inc,ATVI,Communication Services
Adobe Inc,ADBE,Information Technology
Advanced Micro Devices,AMD,Information Technology
Aemetis Inc,AMTX,Energy
Aflac Inc,AFL,Financials
Air Canada,AC,Industrials
Air Products & Chemicals Inc,APD,Materials
Alibaba Group Holding Ltd,BABA,Consumer Discretionary
Alimentation Couche-Tard Inc,ATD.B,Consumer Staples
Allstate Corp,ALL,Financials
Alphabet Inc,GOOG,Communication Services
Aluminum Corporation of China Ltd,ACH,Materials
Amazon.com Inc,AMZN,Consumer Discretionary
Ambev SA,ABEV3,Consumer Staples
AMC Entertainment Holdings,AMC,Communication Services
American Airlines Group Inc,AAL,Industrials
American Eagle Outfitters Inc,AEO,Consumer Discretionary
American Electric Power Co Inc,AEP,Utilities
American Express Co,AXP,Financials
American Water Works Co Inc,AWK,Utilities
Amgen Inc,AMGN,Health Care
AMN Healthcare Services Inc,AMN,Health Care
Anhui Conch Cement Co Ltd,00914,Materials
Apple Inc,AAPL,Information Technology
Aptiv PLC,APTV,Consumer Discretionary
ArcBest Corp,ARCB,Industrials
Arista Networks Inc,ANET,Information Technology
Artisan Partners Asset Management Inc,APAM,Financials
ASGN Inc,ASGN,Industrials
Ashland Global Holdings Inc,ASH,Materials
Asian Paints Ltd,500820,Materials
Astra Microwave Products Ltd,532493,Information Technology
AstraZeneca PLC,AZN,Health Care
AT&T Inc,T,Communication Services
Atacadao SA,CRFB3,Consumer Staples
Atul Ltd,500027,Materials
Aurobindo Pharma Ltd,524804,Health Care
Aurora Cannabis Inc,ACB,Health Care
Autozone Inc,AZO,Consumer Discretionary
Aviva PLC,AV.,Financials
Axis Bank Ltd,532215,Financials
B3 SA - Brasil Bolsa Balcao,B3SA3,Financials
Baidu Inc,BIDU,Communication Services
Bajaj Auto Ltd,532977,Consumer Discretionary
Bajaj Finserv Ltd,532978,Financials
Banco BTG Pactual S.A.,BPAC11,Financials
Banco do Brasil SA BB Brasil,BBAS3,Financials
Banco Santander (Brasil) SA,SANB11,Financials
Bank Bradesco SA,BBDC3,Financials
Bank of America Corp,BAC,Financials
Bank Of Ningbo Co Ltd,002142,Financials
Bank of Nova Scotia,BNS,Financials
Bank OZK,OZK,Financials
Barclays PLC,BCS,Financials
Barnes & Noble Education Inc,BNED,Consumer Discretionary
Bata India Ltd,500043,Consumer Discretionary
Baxter International Inc,BAX,Health Care
BB Seguridade Participacoes SA,BBSE3,Financials
BCE Inc,BCE,Communication Services
Beacon Roofing Supply Inc,BECN,Industrials
Bed Bath & Beyond Inc,BBBY,Consumer Discretionary
Benefitfocus Inc,BNFT,Information Technology
Berger Paints India Ltd,509480,Materials
Best Buy Co Inc,BBY,Consumer Discretionary
Bharat Heavy Electricals Ltd,500103,Industrials
Bharti Airtel Ltd,532454,Communication Services
BHP Group PLC,BHP,Materials
Bill.com Holdings Inc,BILL,Information Technology
Blackrock Inc,BLK,Financials
Blackstone Inc,BX,Financials
Boeing Co,BA,Industrials
Bombardier Inc,BBD.B,Industrials
BorgWarner Inc,BWA,Consumer Discretionary
Bosch Ltd,500530,Consumer Discretionary
Boyd Group Services Inc,BYD,Industrials
BP PLC,BP,Energy
BR Malls Participacoes SA,BRML3,Real Estate
BRF SA,BRFS3,Consumer Staples
Bristol-Myers Squibb Co,BMY,Health Care
Broadcom Inc,AVGO,Information Technology
Brookfield Asset Management,BAM,Financials
BT Group PLC,BT.A,Communication Services
Build-A-Bear Workshop Inc,BBW,Consumer Discretionary
Bunzl PLC,BNZL,Industrials
Burlington Stores Inc,BURL,Consumer Discretionary
Caesars Entertainment Inc,CZR,Consumer Discretionary
Cameco Corp,CCJ,Energy
Campbell Soup Co,CPB,Consumer Staples
Canada Goose Holdings Inc,GOOS,Consumer Discretionary
Canadian National Railway Co,CNI,Industrials
Canadian Natural Resources Ltd,CNQ,Energy
Canadian Pacific Railway Ltd,CP,Industrials
Canadian Utilities Ltd,CU,Utilities
Canadian Western Bank,CWB,Financials
Carclo PLC,CAR,Materials
Cardiovascular Systems Inc,CSII,Health Care
Cargojet Inc,CJT,Industrials
CarMax Inc,KMX,Consumer Discretionary
Carnival PLC,CCL,Consumer Discretionary
Casey's General Stores Inc,CASY,Consumer Staples
Catalyst Pharmaceuticals Inc,CPRX,Health Care
Caterpillar Inc,CAT,Industrials
CCR SA,CCRO3,Industrials
Centene Corp,CNC,Health Care
Centrais Eletricas Brasileiras SA,ELET3,Utilities
Cheesecake Factory Inc,CAKE,Consumer Discretionary
Chevron Corp,CVX,Energy
China Automotive Systems Inc,CAAS,Consumer Discretionary
China Construction Bank Corp,00939,Financials
China Eastern Airlines Corp Ltd,CEA,Industrials
China Finance Online Co Ltd,JRJC,Financials
China Gas Holdings Ltd,00384,Utilities
China Mobile Ltd,00941,Communication Services
China Natural Resources Inc,CHNR,Materials
China Petroleum & Chemical Corp,SNP,Energy
China Southern Airlines Co Ltd,ZNH,Industrials
China State Construction International Holdings Ltd,03311,Industrials
China Tourism Group Duty Free Corp Ltd,601888,Consumer Discretionary
China Vanke Co Ltd,000002,Real Estate
China World Trade Center Co Ltd,600007,Real Estate
China Yangtze Power Co Ltd,600900,Utilities
China Yuchai International Ltd,CYD,Industrials
Chipotle Mexican Grill Inc,CMG,Consumer Discretionary
Cielo SA,CIEL3,Information Technology
Cipla Ltd,500087,Health Care
